question,answer_llm,answer_orig,document
Where do students actually join the Office Hours live stream if the Zoom link isn’t shared with us?,"Students join the Office Hours live stream via **YouTube Live**, not Zoom.

- The **Zoom link is only for instructors/presenters/TAs**
- The **live video URL** is posted in the **announcements channel on Telegram and Slack** before it starts
- You can also watch on the **DataTalksClub YouTube Channel**
- Questions should be submitted in **Slido** when the session is live","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How are we supposed to ask questions during live workshop or office hours sessions?,"During live workshop or office hours sessions, students should submit questions via **Slido**. The **Slido link is pinned in the chat when the session is live**.

Also, **don’t post questions in chat**, since they may be missed if the room is very active. You can watch the session on YouTube Live, and the video URL is usually shared in the announcements channels on Telegram and Slack before it starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Will the stream/video link for office hours be posted somewhere before it starts, and where should I look?",Yes. The video URL should be posted in the **announcements channel on Telegram and Slack before it begins**. You can also watch it live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I just ask questions in the live chat during the session, or is there another place to submit them?","You shouldn’t post questions in the live chat, because they may be missed if the session is active.

Instead, submit your questions via **Slido** — the link is usually **pinned in the chat when the session is live**. You can also ask in **Slack** and follow the course’s question-asking guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is there a public YouTube stream for these sessions, or do I need access to Zoom to watch live?","Yes — students can watch live on the DataTalksClub YouTube Channel. The Zoom link is only for instructors/presenters/TAs, and the video URL is also posted in the announcements channel on Telegram and Slack before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"What’s the best place to begin LLM Zoomcamp, and what docs or repo should I check first?","Start with the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Also check these first:

- **LLM Zoomcamp docs:** https://datatalks.club/docs/courses/llm-zoomcamp/
- **General Zoomcamp logistics docs:** https://datatalks.club/docs/courses/zoomcamp-logistics/

If you want to follow the course workflow and deadlines, use the **course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

When in doubt, follow the **GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course whenever I want, or is there a fixed start date and schedule?","You can start whenever you want. There isn’t a fixed start date for accessing the materials, and the videos, GitHub repo, and homework are available for you to work through at your own pace.

That said, deadlines are listed on the course management platform, so if you want to submit homework or get a certificate, you need to follow the course schedule while it’s open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What does the usual weekly routine look like for this course—videos, notebooks, homework, then submission?","A typical weekly workflow is:

1. Watch the lesson videos.  
2. Work through the lesson notebooks/code.  
3. Read the homework instructions on GitHub.  
4. Submit your answers through the course platform before the deadline.

So yes: videos → notebooks → homework → submission.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the homework instructions and the deadline for each week?,"You can find the homework instructions in the course GitHub repo, and the course management platform is used for submission and deadlines.

For Module 1, start here:
- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

The course platform has the deadline for each week.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?","The homework follows the lesson workflow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,"Click the **“Jump to your record on the leaderboard”** link — it will take you straight to your entry. If you want, you can also check your **Display name** via **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does my leaderboard name look random, and can I change it to something else?","Your leaderboard name looks random because, when your account is created, you’re automatically assigned a random display name like “Lucid Elbakyan.”

Yes, you can change it:

- Click **“Edit Course Profile”**
- Change the **first field** to the nickname/display name you want to show on the leaderboard
- Keep in mind the **second field** is your official name for the certificate

The public leaderboard uses the **display name** field, not your certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using for the course?,"Check the **“Edit Course Profile”** button.

There you’ll see:
- **First field:** your display name / public nickname for the leaderboard
- **Second field:** your official certificate name

If you want, I can also explain the difference between the leaderboard name and the certificate name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I update?",Update the **second field in “Edit Course Profile”** — the **official name printed on your certificate**. Set it to your real name as shown on your ID documents.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What’s the difference between the nickname field and the official-name field in my course profile?,"The difference is:

- **Nickname field**: your **public display name** used on the leaderboard. It can be a nickname or username, and helps keep you anonymous.
- **Official-name field**: your **real legal name** that will be printed on your certificate.

So, the nickname is for public display, while the official name is for the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take the course self-paced and still get a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort. The self-paced mode does not include certificates because certificate eligibility requires peer-reviewing capstones while the course is running.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I do the course on my own schedule, will I receive the certificate anyway?",No. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn't there a certificate option for the self-paced version of the course?,"There isn’t a certificate option for the self-paced version because certificates are only awarded for the live cohort.

The reason is that earning the certificate requires you to peer-review 3 capstone projects after submitting your own project, and that peer-review process is only available while the course is actively running. Once the course ends, the form closes and the peer-review list is compiled, so self-paced participants can’t complete that requirement.

","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in a live cohort to qualify for the certificate?,Yes. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is the certificate tied to the peer-review of capstone projects during the course run?,Yes. The certificate is tied to completing the capstone peer-review process during the live course run. You need to submit your capstone and peer-review 3 other capstones while the course is running; you can’t do the peer reviews in self-paced mode after the form is closed.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I skipped the first homework, can I still get the certificate as long as I pass the Capstone project?","Yes. Skipping the first homework does not prevent you from getting the certificate, as long as you pass the Capstone project. Homework is not mandatory; it only affects your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I actually need to submit homework to get certified in this course, or is the Capstone enough?","No — you don’t need to submit homework to get certified. The Capstone project is enough, as long as you pass it. Homework is optional and only affects your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What happens if I miss a homework assignment — does it affect whether I can finish the course and get the certificate?,"No — missing a homework assignment does **not** affect whether you can finish the course or get the certificate.

According to the course rules, **homework is not mandatory**. You can still get the certificate as long as you **pass the Capstone project**. Homework points only count toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for the certificate, or is it just optional practice and for leaderboard points?","Homework is **not required** for the certificate. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional**, but it’s recommended for practice and the points **count toward your leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Can I ignore the homework and still earn the certificate if I complete the Capstone project successfully?,Yes. Homework is not mandatory for the certificate — you only need to pass the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

Until then, the content can still change. Working on it in advance is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title has `[DRAFT]` in it, it means the homework is **not ready yet**.

The homework is considered ready only when:
- the homework form is open on the course management platform, and
- the title **does not** contain `[DRAFT]`.

Until then, the content may still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if the homework is actually ready to do?,"The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If either of those is not true, it’s not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start homework early if the page is already there?,"Working on homework in advance is **at your own risk**. If the homework page is already open, it can still change unless the title does **not** contain `[DRAFT]` and the form is open.

So: **not guaranteed safe** to start early just because the page is there.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework still change after the form opens on the platform?,"Yes — the homework can still change while the form is open on the platform. The homework is only considered ready when:

- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

Until both are true, the content may still be updated.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled for?,I don't know.,Summer 2027.,bd31146b0e
Do you know when llm-zoomcamp will be offered again?,The next offering is **Summer 2027**.,Summer 2027.,bd31146b0e
What’s the next time this course is going to open up?,I don't know.,Summer 2027.,bd31146b0e
When should I expect the course to be available again?,I don't know.,Summer 2027.,bd31146b0e
Is there a date for the next offering of this course?,Yes — the next offering is planned for **Summer 2027**.,Summer 2027.,bd31146b0e
Where do I find the course videos/lectures for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**. If you’re unsure, check the GitHub repo first, since it’s usually more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start from instead of searching YouTube first?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**. It’s the recommended entry point, and each lesson folder has the relevant videos linked at the top.

If you’re unsure where to begin, follow the GitHub repo first rather than searching YouTube, because it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the videos for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo, and on **each lesson page the relevant videos are linked at the top**. If anything is unclear, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where are the lecture links hidden in the repo, on the lesson pages or somewhere else?",The lecture links are in the lesson folders/pages in the GitHub repo. Each lesson page has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I trust the GitHub repo or the YouTube playlist if I want the latest course material?,Trust the **GitHub repo first**. It’s the main entry point and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the current LLM Zoomcamp syllabus and all the homework deadlines?,"Check the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It has the current syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for tracking my progress in LLM Zoomcamp during the cohort?,"Yes — use the **LLM Zoomcamp course management platform** to track your syllabus, deadlines, homework, and progress during the cohort:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What site should I use to follow the Zoomcamp structure, homework, and due dates?","Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s the site for the **structure, homework, deadlines/due dates, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Can I see the latest course roadmap and deadlines somewhere instead of searching the site?,"Yes — use the **LLM Zoomcamp course management platform** to see the current syllabus, homework, deadlines, and progress tracking:

https://courses.datatalks.club/llm-zoomcamp-2026/

It has the latest cohort structure and deadlines, so you don’t need to search the site.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I keep track of homework and my overall progress in LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to track the **syllabus, deadlines, homework, and your progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It’s the main place for progress tracking and homework submission.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does this course have live sessions or office hours for every module, or is everything just pre-recorded?","There are **no separate live sessions for every module by default**. The module materials are **pre-recorded** and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you can ask in **Slack** and follow the asking questions guidelines. Optional extra support is also available through **AI Shipping Labs**, which includes regular Zoom office hours, but that is a paid optional community.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help instead of waiting for a live class?",Ask in **Slack** and follow the **asking questions guidelines**.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
